[Archer] Calpheon Noble Suit,12697,19,2307,865000,1
[Archer] Delphe Knight Armor,12699,0,517,5600000,0
[Archer] Edan's Travel Wear,12700,0,685,1120000,1
[Archer] Garnier Troupe Garb,12698,0,127,1400000,0
[Archer] Jordine's Casual Wear,12701,0,55,1400000,0
[Archer] Karlstein Armor,754076,0,3,102000000,0
[Archer] Karlstein Crossbow,754077,0,1,50500000,0
[Archer] Karlstein Hat,754075,0,2,33800000,0
[Archer] Serendian Formal Suit,12703,0,94,2330000,0
[Archer] Serendian Smith Garb,12715,0,36,1680000,0
[Archer] Serendian Soldier Armor,12702,0,35,785000,0
[Archer] Shroud Knight Armor,12705,0,921,2700000,1
[Archer] Valencian Travel Wear,12704,0,37,2240000,0
[Basic Dye] Blade Silver,17313,0,2952,20900000,1
[Basic Dye] Dark Black,17316,0,13335,20900000,1
[Basic Dye] Deep Bronze,17315,0,1803,20900000,1
[Basic Dye] Real Blue,17272,0,4346,20900000,1
[Basic Dye] Real Red,17128,0,6305,20900000,1
[Basic Dye] Real Yellow,17200,0,4814,20900000,1
[Basic Dye] Snow White,17312,0,14364,20900000,1
[Berserker] Calpheon Noble Suit,14202,11,4013,865000,1
[Berserker] Delphe Knight Armor,14870,0,79,4070000,1
[Berserker] Edan's Travel Wear,14846,0,1361,1120000,1
[Berserker] Garnier Troupe Garb,14212,0,100,1400000,1
[Berserker] Jordine's Casual Wear,14297,0,85,1400000,0
[Berserker] Karlstein Armor,754016,0,0,126000000,0
[Berserker] Karlstein Axe,754017,0,2,38500000,0
[Berserker] Karlstein Hat,754015,0,2,25600000,0
[Berserker] Serendian Formal Suit,12526,0,85,2330000,0
[Berserker] Serendian Smith Garb,12502,0,63,1540000,0
[Berserker] Serendian Soldier Armor,14285,0,231,785000,1
[Berserker] Shroud Knight Armor,12599,0,1687,2540000,1
[Berserker] Valencian Travel Wear,12620,0,50,2240000,0
[Calpheonian Dye] Black,46610,0,90,20900000,0
[Calpheonian Dye] True Aqua,46554,0,256,20900000,0
[Calpheonian Dye] True Deep Pink,46602,0,71,20900000,0
[Calpheonian Dye] True Indigo,46578,0,194,20900000,1
[Calpheonian Dye] True Lime,46530,0,154,20900000,0
[Calpheonian Dye] True Mint,46542,0,135,20900000,0
[Calpheonian Dye] True Orange,46506,0,206,20900000,0
[Calpheonian Dye] True Purple,46590,0,89,20900000,0
[Calpheonian Dye] True Red,46494,0,420,20900000,0
[Calpheonian Dye] True Sky,46566,0,94,20900000,0
[Calpheonian Dye] True Yellow,46518,0,200,20900000,1
[Combat] Trina Lead Bullet,16380,0,7793,252000,1
[Corsair] Ahon Kirus Armor,12878,26,747,5600000,2
[Corsair] Black Leopard Armor,12879,0,17,1910000,1
[Corsair] Calpheon Noble Dress,12870,25,359,865000,3
[Corsair] Delphe Knight Armor,12875,0,19,5250000,0
[Corsair] Garnier Troupe Garb,12871,0,6,750000,0
[Corsair] Jarette's Armor,12877,0,9,5400000,0
[Corsair] Karlstein Armor,754104,0,1,143000000,0
[Corsair] Karlstein Hat,754103,0,1,48000000,0
[Corsair] Karlstein Serenaca,754106,0,1,67000000,0
[Corsair] Orwen's Travel Wear,12876,0,79,2520000,1
[Corsair] Serendian Smith Garb,12872,0,12,1230000,0
[Corsair] Shroud Knights Armor,12880,0,9,1840000,1
[Corsair] Terrmian Casual Wear,12874,0,10,1540000,0
[Dark Knight] Ahon Kirus's Armor,12581,12,8313,5600000,2
[Dark Knight] Black Leopard Armor,12636,0,273,2980000,1
[Dark Knight] Calpheon Noble Dress,14345,0,8841,865000,3
[Dark Knight] Delphe Knight Armor,12565,0,341,5600000,0
[Dark Knight] Garnier Troupe Garb,14346,0,274,1400000,0
[Dark Knight] Jarette's Armor,12564,0,402,5600000,0
[Dark Knight] Karlstein Armor,754062,0,6,141000000,1
[Dark Knight] Karlstein Hat,754061,0,6,36400000,0
[Dark Knight] Karlstein Kriegsmesser,754064,0,4,62500000,0
[Dark Knight] Karlstein Ornamental Knot,754065,0,1,32700000,0
[Dark Knight] Karlstein Shoes,754063,0,4,28100000,1
[Dark Knight] Orwen's Travel Wear,12563,0,2563,2520000,1
